Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
1777.89,-80.5653,44.3143,413.492,-33.539,406,-26
1784.06,-80.5653,44.3143,413.492,-33.539,408,-35
1789.96,-80.5653,44.3143,413.492,-33.539,409,-37
1796.07,-80.5653,44.3143,413.492,-33.539,410,-39
1801.96,-80.5653,44.3143,413.492,-33.539,410,-39
1808.08,-80.5653,44.3143,413.492,-33.539,411,-39
1814.83,-80.5653,44.3143,413.492,-33.539,411,-39
1821.09,-84.6814,54.1829,431.683,-191.992,412,-39
1826.98,-84.6814,54.1829,431.683,-191.992,412,-40
1833.02,-84.6814,54.1829,431.683,-191.992,413,-50
1838.92,-84.6814,54.1829,431.683,-191.992,414,-74
1844.91,-84.6814,54.1829,431.683,-191.992,418,-113
1850.96,-84.6814,54.1829,431.683,-191.992,421,-152
1857.09,-84.6814,54.1829,431.683,-191.992,424,-179
1863.03,-84.6814,54.1829,431.683,-191.992,426,-190
1869.1,-84.6814,54.1829,431.683,-191.992,427,-193
1874.92,-84.6814,54.1829,431.683,-191.992,428,-194
1880.99,-84.6814,54.1829,431.683,-191.992,428,-194
1887.1,-84.6814,54.1829,431.683,-191.992,428,-195
1892.94,-84.6814,54.1829,431.683,-191.992,429,-195
1898.88,-87.7701,63.5425,431.683,-191.992,429,-196
1904.86,-87.7701,63.5425,444.618,-330.933,430,-196
1911.03,-87.7701,63.5425,444.618,-330.933,430,-201
1917.11,-87.7701,63.5425,444.618,-330.933,431,-219
1922.94,-87.7701,63.5425,444.618,-330.933,434,-251
1929.11,-87.7701,63.5425,444.618,-330.933,437,-290
1934.94,-87.7701,63.5425,444.618,-330.933,440,-314
1940.99,-87.7701,63.5425,444.618,-330.933,442,-325
1947,-87.7701,63.5425,444.618,-330.933,443,-327
1953.12,-87.7701,63.5425,444.618,-330.933,443,-329
1958.99,-87.7701,63.5425,444.618,-330.933,443,-329
1964.99,-87.7701,63.5425,444.618,-330.933,443,-330
1970.97,-87.7701,63.5425,444.618,-330.933,443,-330
1977.88,-87.7701,63.5425,444.618,-330.933,444,-331
1984.05,-89.7467,72.4375,452.378,-492.13,444,-331
1990.05,-89.7467,72.4375,452.378,-492.13,444,-333
1995.93,-89.7467,72.4375,452.378,-492.13,445,-343
2001.99,-89.7467,72.4375,452.378,-492.13,445,-368
2007.97,-89.7467,72.4375,452.378,-492.13,446,-410
2013.94,-89.7467,72.4375,452.378,-492.13,448,-450
2020.02,-89.7467,72.4375,452.378,-492.13,450,-476
2025.97,-89.7467,72.4375,452.378,-492.13,451,-488
2031.96,-89.7467,72.4375,452.378,-492.13,452,-492
2038.26,-89.7467,72.4375,452.378,-492.13,452,-493
2044.04,-89.7467,72.4375,452.378,-492.13,452,-493
2049.97,-89.7467,72.4375,452.378,-492.13,453,-494
2055.9,-89.7467,72.4375,452.378,-492.13,453,-494
2062.03,-90.3676,80.7739,453.03,-655.179,454,-495
2068.06,-90.3676,80.7739,453.03,-655.179,454,-496
2074.1,-90.3676,80.7739,453.03,-655.179,454,-507
2080.02,-90.3676,80.7739,453.03,-655.179,454,-534
2086.06,-90.3676,80.7739,453.03,-655.179,454,-574
2092.02,-90.3676,80.7739,453.03,-655.179,454,-613
2098.02,-90.3676,80.7739,453.03,-655.179,454,-638
2104.16,-90.3676,80.7739,453.03,-655.179,454,-651
2110.05,-90.3676,80.7739,453.03,-655.179,454,-653
2116.1,-90.3676,80.7739,453.03,-655.179,454,-654
2121.99,-90.3676,80.7739,453.03,-655.179,454,-656
2127.93,-90.3676,80.7739,453.03,-655.179,454,-656
2133.93,-90.3676,80.7739,453.03,-655.179,454,-656
2141.07,-89.5521,88.5059,446.248,-843.599,454,-656
2147,-89.5521,88.5059,446.248,-843.599,454,-656
2153.12,-89.5521,88.5059,446.248,-843.599,454,-662
2159,-89.5521,88.5059,446.248,-843.599,454,-680
2165.07,-89.5521,88.5059,446.248,-843.599,454,-717
2170.93,-89.5521,88.5059,446.248,-843.599,454,-762
